"street_name","accident_street","total_accident","percent_accident_street"
"East 69 Street","43","238421","0.02"
"Coop City Boulevard","46","238421","0.02"
"55 Avenue","37","238421","0.02"
"182 Street","39","238421","0.02"
"West 19 Street","57","238421","0.02"
"Worth Street","38","238421","0.02"
"10 Street","53","238421","0.02"
"Sands Street","50","238421","0.02"
"Morningside Avenue","43","238421","0.02"
"East 101 Street","55","238421","0.02"
"124 Street","58","238421","0.02"
"Melrose Street","38","238421","0.02"
"Kosciuszko Street","42","238421","0.02"
"Throgs Neck Expressway","45","238421","0.02"
"Walker Street","50","238421","0.02"
"Waters Place","46","238421","0.02"
"Saint Marks Place","40","238421","0.02"
"180 Street","59","238421","0.02"
"Chauncey Street","56","238421","0.02"
"Morningstar Road","58","238421","0.02"
"Grant Highway","56","238421","0.02"
"Elizabeth Street","56","238421","0.02"
"Weirfield Street","37","238421","0.02"
"West 18 Street","38","238421","0.02"
"South 3 Street","42","238421","0.02"
"East 43 Street","39","238421","0.02"
"44 Avenue","37","238421","0.02"
"West 11 Street","50","238421","0.02"
"161 Street","55","238421","0.02"
"32 Street","39","238421","0.02"
"143 Street","53","238421","0.02"
"Review Avenue","40","238421","0.02"
"Whitlock Avenue","43","238421","0.02"
"53 Avenue","38","238421","0.02"
"South Road","36","238421","0.02"
"West 150 Street","50","238421","0.02"
"Vyse Avenue","54","238421","0.02"
"153 Street","41","238421","0.02"
"East 78 Street","36","238421","0.02"
"East Bedford Park Boulevard","42","238421","0.02"
"Scholes Street","47","238421","0.02"
"West 79 Street","37","238421","0.02"
"Hoyt Avenue South","42","238421","0.02"
"Midwood Street","37","238421","0.02"
"Navy Street","36","238421","0.02"
"Braddock Avenue","40","238421","0.02"
"Boerum Place","57","238421","0.02"
"East 213 Street","40","238421","0.02"
"67 Avenue","38","238421","0.02"
"West 32 Street","47","238421","0.02"
"60 Avenue","38","238421","0.02"
"Douglaston Parkway","51","238421","0.02"
"104 Avenue","55","238421","0.02"
"128 Street","45","238421","0.02"
"Hoyt Avenue North","39","238421","0.02"
"131 Avenue","49","238421","0.02"
"171 Street","54","238421","0.02"
"97 Avenue","53","238421","0.02"
"East 76 Street","55","238421","0.02"
"Elder Avenue","50","238421","0.02"
"West 158 Street","42","238421","0.02"
"49 Avenue","36","238421","0.02"
"West 112 Street","52","238421","0.02"
"East 223 Street","38","238421","0.02"
"Commonwlth Avenue","41","238421","0.02"
"Barretto Street","49","238421","0.02"
"63 Drive","48","238421","0.02"
"Barbey Street","39","238421","0.02"
"East 229 Street","51","238421","0.02"
"North 6 Street","36","238421","0.02"
"Martin Luther King Jr","46","238421","0.02"
"Pugsley Avenue","37","238421","0.02"
"Bruckner Expressway Ramp","39","238421","0.02"
"205 Street","42","238421","0.02"
"Willoughby Street","39","238421","0.02"
"Perry Avenue","41","238421","0.02"
"59 Avenue","57","238421","0.02"
"East Mount Eden Avenue","40","238421","0.02"
"69 Avenue","56","238421","0.02"
"Warwick Street","56","238421","0.02"
"Richardson Street","41","238421","0.02"
"Tapscott Street","39","238421","0.02"
"Bowne Street","51","238421","0.02"
"Shell Road","50","238421","0.02"
"22 Street","39","238421","0.02"
"William Street","37","238421","0.02"
"West 152 Street","46","238421","0.02"
"Beach Avenue","40","238421","0.02"
"Beach 19 Street","38","238421","0.02"
"West 13 Street","51","238421","0.02"
"Bloomingdale Road","40","238421","0.02"
"East 139 Street","47","238421","0.02"
"East 77 Street","42","238421","0.02"
"Thieriot Avenue","39","238421","0.02"
"83 Avenue","36","238421","0.02"
"Rivington Street","36","238421","0.02"
"Shore Front Parkway","38","238421","0.02"
"94 Avenue","38","238421","0.02"
"West 169 Street","48","238421","0.02"
"Macombs Road","47","238421","0.02"
"East 219 Street","37","238421","0.02"
"Anderson Avenue","40","238421","0.02"
"Cypress Hills Street","53","238421","0.02"
"West 225 Street","50","238421","0.02"
"165 Street","55","238421","0.02"
"Vernon Avenue","43","238421","0.02"
"Maple Street","42","238421","0.02"
"West 49 Street","58","238421","0.02"
"181 Street","36","238421","0.02"
"Armstrong Avenue","42","238421","0.02"
"West 136 Street","46","238421","0.02"
"West 140 Street","54","238421","0.02"
"West 174 Street","38","238421","0.02"
"Hemlock Street","44","238421","0.02"
"Erskine Street","38","238421","0.02"
"Hollis Court Boulevard","37","238421","0.02"
"National Street","40","238421","0.02"
"Sullivan Street","41","238421","0.02"
"West 137 Street","48","238421","0.02"
"Pulaski Street","38","238421","0.02"
"163 Street","38","238421","0.02"
"Washington Street","52","238421","0.02"
"East 111 Street","58","238421","0.02"
"Unionport Road","54","238421","0.02"
"West 153 Street","46","238421","0.02"
"Bergen Avenue","47","238421","0.02"
"Thomson Avenue","40","238421","0.02"
"North Gannon Avenue","38","238421","0.02"
"Ely Avenue","42","238421","0.02"
"West 123 Street","40","238421","0.02"
"122 Street","37","238421","0.02"
"Whitney Avenue","46","238421","0.02"
"99 Avenue","48","238421","0.02"
"Anthony Avenue","47","238421","0.02"
"40 Avenue","52","238421","0.02"
"East 147 Street","40","238421","0.02"
"105 Avenue","36","238421","0.02"
"West 52 Street","55","238421","0.02"
"Fillmore Avenue","47","238421","0.02"
"Willets Point Boulevard","54","238421","0.02"
"East 123 Street","42","238421","0.02"
"58 Avenue","44","238421","0.02"
"Cooper Street","48","238421","0.02"
"Fdr Drive Ramp","59","238421","0.02"
"196 Street","54","238421","0.02"
"219 Street","53","238421","0.02"
"East 178 Street","46","238421","0.02"
"Booth Memorial Avenue","54","238421","0.02"
"Bristol Street","57","238421","0.02"
"229 Street","26","238421","0.01"
"Times Square","13","238421","0.01"
"Ocean Terrace","16","238421","0.01"
"Claflin Avenue","15","238421","0.01"
"Netherland Avenue","32","238421","0.01"
"Malta Street","14","238421","0.01"
"West 171 Street","19","238421","0.01"
"Brooklyn Qns Expressway","32","238421","0.01"
"Watkins Street","20","238421","0.01"
"Furman Avenue","31","238421","0.01"
"148 Avenue","15","238421","0.01"
"North 5 Street","23","238421","0.01"
"Dawson Street","14","238421","0.01"
"Daly Avenue","15","238421","0.01"
"West 5 Street","31","238421","0.01"
"Apollo Street","17","238421","0.01"
"Otis Avenue","28","238421","0.01"
"116 Road","14","238421","0.01"
"255 Street","16","238421","0.01"
"Fish Avenue","14","238421","0.01"
"143 Avenue","20","238421","0.01"
"Strickland Avenue","15","238421","0.01"
"Sayres Avenue","25","238421","0.01"
"East 50 Street","22","238421","0.01"
"Gleane Street","17","238421","0.01"
"Saultell Avenue","13","238421","0.01"
"156 Avenue","17","238421","0.01"
"East 171 Street","31","238421","0.01"
"Dahlgren Place","12","238421","0.01"
"Bay 32 Street","17","238421","0.01"
"Calamus Avenue","20","238421","0.01"
"Gateway Boulevard","19","238421","0.01"
"Christie Avenue","15","238421","0.01"
"Laburnum Avenue","17","238421","0.01"
"Beach 116 Street","22","238421","0.01"
"Bouck Avenue","15","238421","0.01"
"13 Street","34","238421","0.01"
"136 Avenue","18","238421","0.01"
"Chelsea Street","13","238421","0.01"
"59 Place","18","238421","0.01"
"West 205 Street","14","238421","0.01"
"Milford Drive","17","238421","0.01"
"Remington Street","24","238421","0.01"
"Havemeyer Avenue","34","238421","0.01"
"Gipson Street","16","238421","0.01"
"Batchelder Street","18","238421","0.01"
"West 73 Street","26","238421","0.01"
"Conklin Avenue","27","238421","0.01"
"Catalpa Avenue","26","238421","0.01"
"Independence Avenue","23","238421","0.01"
"Forsyth Street","20","238421","0.01"
"Marconi Street","14","238421","0.01"
"Dry Harbor Road","16","238421","0.01"
"Maujer Street","21","238421","0.01"
"Meadow Street","18","238421","0.01"
"159 Avenue","13","238421","0.01"
"Kent Street","13","238421","0.01"
"Timpson Place","23","238421","0.01"
"Taylor Street","19","238421","0.01"
"West 215 Street","17","238421","0.01"
"Palmer Avenue","15","238421","0.01"
"Radcliff Avenue","13","238421","0.01"
"Arverne Boulevard","12","238421","0.01"
"Trinity Avenue","31","238421","0.01"
"East 240 Street","24","238421","0.01"
"East 121 Street","24","238421","0.01"
"70 Road","20","238421","0.01"
"Pierce Avenue","15","238421","0.01"
"55 Road","19","238421","0.01"
"Newel Street","13","238421","0.01"
"Lamberts Lane","14","238421","0.01"
"Union Hall Street","29","238421","0.01"
"230 Place","16","238421","0.01"
"Clintonville Street","22","238421","0.01"
"Fenton Avenue","19","238421","0.01"
"Chelsea Road","17","238421","0.01"
"Clifton Place","19","238421","0.01"
"Calhoun Avenue","13","238421","0.01"
"Maiden Lane","27","238421","0.01"
"Tillotson Avenue","28","238421","0.01"
"Huntington Street","14","238421","0.01"
"134 Avenue","28","238421","0.01"
"Merriam Avenue","17","238421","0.01"
"Starling Avenue","12","238421","0.01"
"Haviland Avenue","15","238421","0.01"
"84 Drive","33","238421","0.01"
"George Street","26","238421","0.01"
"East 159 Street","18","238421","0.01"
"Locust Avenue","13","238421","0.01"
"Hollywood Avenue","14","238421","0.01"
"Mexico Street","14","238421","0.01"
"West 184 Street","26","238421","0.01"
"Pitman Avenue","22","238421","0.01"
"Heyward Street","25","238421","0.01"
"Edson Avenue","31","238421","0.01"
"Beach 69 Street","19","238421","0.01"
"East 226 Street","28","238421","0.01"
"East 155 Street","12","238421","0.01"
"Nelson Street","16","238421","0.01"
"Chatterton Avenue","16","238421","0.01"
"West 68 Street","20","238421","0.01"
"Wooster Street","14","238421","0.01"
"Wallace Avenue","34","238421","0.01"
"Commonwealth Boulevard","27","238421","0.01"
"44 Drive","30","238421","0.01"
"122 Avenue","31","238421","0.01"
"Academy Street","25","238421","0.01"
"Vancortlandt Avenue East","24","238421","0.01"
"Crotona Park East","20","238421","0.01"
"Mercer Street","16","238421","0.01"
"259 Street","15","238421","0.01"
"Ward Avenue","21","238421","0.01"
"Bedford Park Boulevard","31","238421","0.01"
"Manida Street","26","238421","0.01"
"East 216 Street","30","238421","0.01"
"Park Row","21","238421","0.01"
"Riverside Boulevard","15","238421","0.01"
"East 235 Street","23","238421","0.01"
"146 Avenue","12","238421","0.01"
"Saint Nicholas Terrace","21","238421","0.01"
"West 159 Street","22","238421","0.01"
"Sackman Street","23","238421","0.01"
"West 7 Street","27","238421","0.01"
"Rose Avenue","12","238421","0.01"
"Pleasant Avenue","16","238421","0.01"
"Boerum Street","28","238421","0.01"
"Waldron Street","13","238421","0.01"
"Einstein Loop","17","238421","0.01"
"Tryon Avenue","12","238421","0.01"
"Pierrepont Street","15","238421","0.01"
"216 Street","27","238421","0.01"
"Barlow Avenue","19","238421","0.01"
"Diamond Street","13","238421","0.01"
"208 Street","32","238421","0.01"
"Patterson Avenue","12","238421","0.01"
"Aqueduct Avenue","25","238421","0.01"
"West 78 Street","13","238421","0.01"
"Colgate Avenue","22","238421","0.01"
"68 Avenue","34","238421","0.01"
"Pratt Avenue","16","238421","0.01"
"25 Street","13","238421","0.01"
"Brighton 3 Street","21","238421","0.01"
"West 77 Street","23","238421","0.01"
"East 74 Street","31","238421","0.01"
"Wall Street","32","238421","0.01"
"Brighton 7 Street","17","238421","0.01"
"Pitt Street","28","238421","0.01"
"Hobart Avenue","13","238421","0.01"
"Cross Bronx Expressway Extension","15","238421","0.01"
"Ascan Avenue","13","238421","0.01"
"Union Square East","19","238421","0.01"
"Liverpool Street","28","238421","0.01"
"Christopher Street","16","238421","0.01"
"West 60 Street","19","238421","0.01"
"Guernsey Street","18","238421","0.01"
"Center Drive","12","238421","0.01"
"Third Ave Bridge","17","238421","0.01"
"East 33 Street","28","238421","0.01"
"Grant Circle","16","238421","0.01"
"East 202 Street","12","238421","0.01"
"87 Avenue","26","238421","0.01"
"Ericsson Place","13","238421","0.01"
"Transverse Road Number Four","16","238421","0.01"
"Saint Pauls Avenue","24","238421","0.01"
"West 206 Street","13","238421","0.01"
"Cherry Avenue","20","238421","0.01"
"Edgewood Avenue","12","238421","0.01"
"Kingston Place","13","238421","0.01"
"Lamont Avenue","13","238421","0.01"
"81 Avenue","23","238421","0.01"
"Brighton 6 Street","32","238421","0.01"
"Monroe Avenue","22","238421","0.01"
"Garfield Place","22","238421","0.01"
"Harding Avenue","17","238421","0.01"
"62 Drive","34","238421","0.01"
"Muliner Avenue","13","238421","0.01"
"East 44 Street","27","238421","0.01"
"Irving Place","22","238421","0.01"
"East 204 Street","32","238421","0.01"
"Brooklyn Queens Expressway W/B","13","238421","0.01"
"Cranford Avenue","20","238421","0.01"
"Villa Avenue","16","238421","0.01"
"West 232 Street","15","238421","0.01"
"Nashville Boulevard","27","238421","0.01"
"Eckford Street","29","238421","0.01"
"230 Street","30","238421","0.01"
"Elton Avenue","23","238421","0.01"
"Russell Street","20","238421","0.01"
"Henley Road","20","238421","0.01"
"Third Avenue","14","238421","0.01"
"Fenimore Street","23","238421","0.01"
"242 Street","15","238421","0.01"
"58 Road","21","238421","0.01"
"82 Avenue","22","238421","0.01"
"City Island Road","17","238421","0.01"
"Orchard Beach Road","27","238421","0.01"
"115 Road","18","238421","0.01"
"Macdougal Street","24","238421","0.01"
"Barclay Avenue","23","238421","0.01"
"Waltham Street","25","238421","0.01"
"Beach 21 Street","14","238421","0.01"
"Grafton Street","12","238421","0.01"
"West 80 Street","15","238421","0.01"
"Rugby Road","16","238421","0.01"
"Westminister Road","24","238421","0.01"
"Sand Lane","20","238421","0.01"
"85 Drive","13","238421","0.01"
"Benziger Avenue","17","238421","0.01"
"Egan Street","12","238421","0.01"
"Arlene Street","12","238421","0.01"
"Herzl Street","21","238421","0.01"
"Manhattan Bridge","13","238421","0.01"
"Taaffe Place","22","238421","0.01"
"Shore Road Drive","15","238421","0.01"
"Boone Avenue","29","238421","0.01"
"Adelphi Street","23","238421","0.01"
"Woodruff Avenue","18","238421","0.01"
"Kingsbridge Avenue","30","238421","0.01"
"York Street","28","238421","0.01"
"41 Road","15","238421","0.01"
"West 202 Street","13","238421","0.01"
"215 Place","21","238421","0.01"
"West 88 Street","21","238421","0.01"
"East 127 Street","20","238421","0.01"
"Vancortlandt Avenue West","19","238421","0.01"
"East 148 Street","24","238421","0.01"
"Williamsburg Street East","28","238421","0.01"
"West 128 Street","31","238421","0.01"
"26 Street","21","238421","0.01"
"East 205 Street","19","238421","0.01"
"Queens Midtown Expressway","22","238421","0.01"
"Chestnut Street","26","238421","0.01"
"Concord Street","15","238421","0.01"
"Ainslie Street","28","238421","0.01"
"Baxter Street","18","238421","0.01"
"Isham Street","16","238421","0.01"
"Ridge Street","16","238421","0.01"
"106 Street","35","238421","0.01"
"Brabant Street","12","238421","0.01"
"Matthews Avenue","20","238421","0.01"
"Crocheron Avenue","21","238421","0.01"
"Campus Road","15","238421","0.01"
"Matilda Avenue","14","238421","0.01"
"East 131 Street","20","238421","0.01"
"Brush Avenue","35","238421","0.01"
"Douglass Street","13","238421","0.01"
"Richards Street","17","238421","0.01"
"Rutgers Street","14","238421","0.01"
"East 215 Street","27","238421","0.01"
"78 Road","15","238421","0.01"
"Parker Street","12","238421","0.01"
"Oceania Street","13","238421","0.01"
"Wexford Terrace","19","238421","0.01"
"Elmhurst Avenue","27","238421","0.01"
"Doscher Street","12","238421","0.01"
"Justice Avenue","14","238421","0.01"
"South 8 Street","20","238421","0.01"
"Waterbury Avenue","17","238421","0.01"
"Brightwater Court","16","238421","0.01"
"Homer Avenue","12","238421","0.01"
"Richardson Avenue","15","238421","0.01"
"Fairview Avenue","31","238421","0.01"
"East 75 Street","28","238421","0.01"
"Charlton Street","12","238421","0.01"
"Grandview Avenue","34","238421","0.01"
"West 193 Street","12","238421","0.01"
"Washington Bridge 181 St","26","238421","0.01"
"Varet Street","14","238421","0.01"
"East End Avenue","13","238421","0.01"
"Fingerboard Road","14","238421","0.01"
"Cauldwell Avenue","23","238421","0.01"
"Orchard Street","31","238421","0.01"
"Paerdegat Avenue North","16","238421","0.01"
"Avery Avenue","12","238421","0.01"
"108 Avenue","31","238421","0.01"
"153 Avenue","21","238421","0.01"
"East 130 Street","17","238421","0.01"
"Cary Avenue","27","238421","0.01"
"West 192 Street","21","238421","0.01"
"Hanson Place","25","238421","0.01"
"Sumpter Street","18","238421","0.01"
"Annadale Road","27","238421","0.01"
"Hone Avenue","17","238421","0.01"
"190 Street","32","238421","0.01"
"Willow Road West","15","238421","0.01"
"Beach 59 Street","20","238421","0.01"
"Cambreleng Avenue","21","238421","0.01"
"Woolley Avenue","23","238421","0.01"
"Waverly Place","23","238421","0.01"
"West 121 Street","31","238421","0.01"
"Newtown Road","21","238421","0.01"
"Brooklyn Queens Expy (Cdr)","30","238421","0.01"
"Lie Lower Level (Cdr)","23","238421","0.01"
"200 Street","22","238421","0.01"
"Mickle Avenue","17","238421","0.01"
"129 Avenue","14","238421","0.01"
"G.C.P. / C.I.P. (Cdr)","15","238421","0.01"
"Senator Street","22","238421","0.01"
"64 Place","14","238421","0.01"
"85 Road","25","238421","0.01"
"Catherine Street","14","238421","0.01"
"Butler Street","27","238421","0.01"
"Heath Avenue","28","238421","0.01"
"Home Street","20","238421","0.01"
"Grace Avenue","32","238421","0.01"
"South Gannon Avenue","25","238421","0.01"
"East Mosholu Parkway South","34","238421","0.01"
"North 3 Street","31","238421","0.01"
"West 103 Street","13","238421","0.01"
"Bronx Park South","19","238421","0.01"
"Edenwald Avenue","32","238421","0.01"
"Commerce Avenue","22","238421","0.01"
"Wilder Avenue","24","238421","0.01"
"Inwood Avenue","21","238421","0.01"
"260 Street","31","238421","0.01"
"Cedar Street","23","238421","0.01"
"Osborn Street","26","238421","0.01"
"Madison Ave Bridge","14","238421","0.01"
"West 164 Street","32","238421","0.01"
"139 Avenue","23","238421","0.01"
"Harrod Avenue","25","238421","0.01"
"Oriental Boulevard","15","238421","0.01"
"Gravesend Neck Road","28","238421","0.01"
"Frost Street","14","238421","0.01"
"Montauk Avenue","33","238421","0.01"
"Saunders Street","20","238421","0.01"
"185 Street","12","238421","0.01"
"Morningside Drive","17","238421","0.01"
"20 Street","33","238421","0.01"
"Bogart Street","23","238421","0.01"
"Norfolk Street","16","238421","0.01"
"G.C.P. / L.I.E (Cdr)","26","238421","0.01"
"Dalny Road","23","238421","0.01"
"Sheridan Boulevard","23","238421","0.01"
"West 84 Street","26","238421","0.01"
"Alstyne Avenue","27","238421","0.01"
"231 Street","31","238421","0.01"
"Paladino Avenue","26","238421","0.01"
"Division Street","20","238421","0.01"
"31 Road","14","238421","0.01"
"East 157 Street","25","238421","0.01"
"East 193 Street","20","238421","0.01"
"Eldert Street","30","238421","0.01"
"Whittier Street","28","238421","0.01"
"Eagle Avenue","12","238421","0.01"
"West 175 Street","26","238421","0.01"
"257 Street","14","238421","0.01"
"Gardner Avenue","24","238421","0.01"
"Cebra Avenue","24","238421","0.01"
"Dewey Avenue","14","238421","0.01"
"New England Thruway Ramp","24","238421","0.01"
"West 173 Street","19","238421","0.01"
"125 Avenue","12","238421","0.01"
"Lie Outer Roadway (Cdr)","21","238421","0.01"
"Downing Street","15","238421","0.01"
"77 Road","22","238421","0.01"
"Colden Street","19","238421","0.01"
"East 201 Street","16","238421","0.01"
"East 197 Street","20","238421","0.01"
"Harway Avenue","14","238421","0.01"
"Jane Street","12","238421","0.01"
"Hamilton Place","30","238421","0.01"
"Edison Avenue","28","238421","0.01"
"63 Road","22","238421","0.01"
"Harbor Road","15","238421","0.01"
"80 Road","13","238421","0.01"
"149 Road","14","238421","0.01"
"1 Street","22","238421","0.01"
"Jewel Street","16","238421","0.01"
"West 92 Street","28","238421","0.01"
"Gowanus Expressway","17","238421","0.01"
"247 Street","18","238421","0.01"
"Long Street","16","238421","0.01"
"Crescent Avenue","15","238421","0.01"
"Beach 17 Street","23","238421","0.01"
"114 Road","21","238421","0.01"
"Kew Garden Road","23","238421","0.01"
"Varick Avenue","33","238421","0.01"
"North 8 Street","14","238421","0.01"
"East 152 Street","26","238421","0.01"
"65 Road","16","238421","0.01"
"Lincoln Street","15","238421","0.01"
"West 234 Street","15","238421","0.01"
"Orloff Avenue","16","238421","0.01"
"Blondell Avenue","15","238421","0.01"
"Colden Avenue","14","238421","0.01"
"Brookhaven Avenue","18","238421","0.01"
"West 74 Street","14","238421","0.01"
"East 206 Street","15","238421","0.01"
"Coyle Street","14","238421","0.01"
"East 160 Street","25","238421","0.01"
"Kappock Street","13","238421","0.01"
"220 Street","29","238421","0.01"
"Willmohr Street","20","238421","0.01"
"West 109 Street","24","238421","0.01"
"Pinehurst Avenue","13","238421","0.01"
"Walworth Street","22","238421","0.01"
"Totten Road","12","238421","0.01"
"Vanerveer Street","12","238421","0.01"
"Crosby Street","18","238421","0.01"
"Monitor Street","32","238421","0.01"
"Bridge Street","31","238421","0.01"
"West 117 Street","31","238421","0.01"
"Ross Street","15","238421","0.01"
"194 Street","28","238421","0.01"
"Strauss Street","24","238421","0.01"
"68 Road","19","238421","0.01"
"Melbourne Avenue","13","238421","0.01"
"West 71 Street","28","238421","0.01"
"Attorney Street","24","238421","0.01"
"Sunnyside Avenue","12","238421","0.01"
"Colonial Road","31","238421","0.01"
"191 Street","23","238421","0.01"
"Haven Avenue","30","238421","0.01"
"Noll Street","18","238421","0.01"
"Bement Avenue","25","238421","0.01"
"Argyle Road","20","238421","0.01"
"72 Avenue","32","238421","0.01"
"Spofford Avenue","28","238421","0.01"
"Rider Avenue","12","238421","0.01"
"56 Drive","13","238421","0.01"
"145 Street","26","238421","0.01"
"Lakewood Avenue","29","238421","0.01"
"Fort George Hill","23","238421","0.01"
"Alderton Street","13","238421","0.01"
"184 Street","31","238421","0.01"
"Christopher Ave","23","238421","0.01"
"Saint Lawrence Avenue","23","238421","0.01"
"263 Street","25","238421","0.01"
"174 Street","14","238421","0.01"
"Asch Loop","15","238421","0.01"
"West 160 Street","19","238421","0.01"
"Concourse Village West","17","238421","0.01"
"Bussing Avenue","35","238421","0.01"
"Booth Street","21","238421","0.01"
"Seguine Avenue","14","238421","0.01"
"Cooper Square","24","238421","0.01"
"Shepherd Avenue","32","238421","0.01"
"138 Place","12","238421","0.01"
"52 Avenue","23","238421","0.01"
"Jackson Street","30","238421","0.01"
"246 Street","13","238421","0.01"
"Marathon Parkway","16","238421","0.01"
"85 Avenue","34","238421","0.01"
"Van Siderin Avenue","28","238421","0.01"
"Macombs Place","33","238421","0.01"
"Barclay Street","18","238421","0.01"
"Nichols Avenue","14","238421","0.01"
"Magenta Street","13","238421","0.01"
"L.I.E / G.C.P (Cdr)","13","238421","0.01"
"145 Road","18","238421","0.01"
"132 Avenue","13","238421","0.01"
"Grenfell Street","12","238421","0.01"
"Colfax Street","13","238421","0.01"
"106 Avenue","23","238421","0.01"
"79 Avenue","26","238421","0.01"
"Saint Edwards Street","12","238421","0.01"
"Saint Marys Street","23","238421","0.01"
"Lurting Avenue","14","238421","0.01"
"Willowbrook Road","22","238421","0.01"
"Archer Street","12","238421","0.01"
"Oak Avenue","22","238421","0.01"
"Cherry Street","28","238421","0.01"
"226 Street","34","238421","0.01"
"Miles Avenue","19","238421","0.01"
"136 Street","20","238421","0.01"
"Crotona Park North","23","238421","0.01"
"West 246 Street","16","238421","0.01"
"72 Road","15","238421","0.01"
"Richmond Street","15","238421","0.01"
"2 Street","31","238421","0.01"
"Philip Avenue","16","238421","0.01"
"Ingraham Street","16","238421","0.01"
"Simpson Street","24","238421","0.01"
"West 154 Street","14","238421","0.01"
"Marble Hill Avenue","16","238421","0.01"
"Mayflower Avenue","22","238421","0.01"
"84 Avenue","30","238421","0.01"
"Hutchinson River Parkway East","21","238421","0.01"
"Home Lawn Street","30","238421","0.01"
"Heberton Avenue","15","238421","0.01"
"Barker Avenue","20","238421","0.01"
"Concord Avenue","18","238421","0.01"
"Viele Avenue","25","238421","0.01"
"56 Road","25","238421","0.01"
"East Bay Avenue","17","238421","0.01"
"Prospect Park Southwest","30","238421","0.01"
"Drew Street","21","238421","0.01"
"West 64 Street","21","238421","0.01"
"Lorraine Street","31","238421","0.01"
"40 Road","35","238421","0.01"
"Washington Bridge","17","238421","0.01"
"214 Street","15","238421","0.01"
"East 228 Street","28","238421","0.01"
"Cabrini Boulevard","28","238421","0.01"
"Willis Avenue Bridge Approach","15","238421","0.01"
"East 47 Street","32","238421","0.01"
"Findlay Avenue","28","238421","0.01"
"Fort Independence Street","21","238421","0.01"
"Van Buren Street","28","238421","0.01"
"119 Street","14","238421","0.01"
"182 Place","13","238421","0.01"
"Needham Avenue","23","238421","0.01"
"East 194 Street","27","238421","0.01"
"Powers Street","14","238421","0.01"
"Beech Avenue","15","238421","0.01"
"Park Drive East","21","238421","0.01"
"215 Street","30","238421","0.01"
"West 2 Street","26","238421","0.01"
"Rockaway Point Boulevard","15","238421","0.01"
"Sackett Street","27","238421","0.01"
"Martense Avenue","12","238421","0.01"
"Poly Place","14","238421","0.01"
"Lincoln Road","26","238421","0.01"
"Roberts Avenue","13","238421","0.01"
"Mason Avenue","12","238421","0.01"
"Amity Place","12","238421","0.01"
"Kelly Street","30","238421","0.01"
"Revere Avenue","14","238421","0.01"
"Corbin Place","12","238421","0.01"
"Wainwright Avenue","14","238421","0.01"
"253 Street","21","238421","0.01"
"Cathedral Parkway","21","238421","0.01"
"Neill Avenue","28","238421","0.01"
"Eastburn Avenue","14","238421","0.01"
"East 142 Street","25","238421","0.01"
"249 Street","25","238421","0.01"
"244 Street","13","238421","0.01"
"Beck Street","21","238421","0.01"
"Highland Place","26","238421","0.01"
"Covert Street","34","238421","0.01"
"Judge Street","13","238421","0.01"
"Jarvis Avenue","16","238421","0.01"
"West 76 Street","12","238421","0.01"
"62 Avenue","28","238421","0.01"
"Thayer Street","12","238421","0.01"
"Bennett Avenue","22","238421","0.01"
"Hall Street","13","238421","0.01"
"Williamsburg Bridge","27","238421","0.01"
"Penelope Avenue","13","238421","0.01"
"121 Avenue","20","238421","0.01"
"Case Street","25","238421","0.01"
"Summit Avenue","13","238421","0.01"
"Westervelt Avenue","28","238421","0.01"
"Pike Street","16","238421","0.01"
"West 189 Street","18","238421","0.01"
"Brady Avenue","19","238421","0.01"
"Beaver Street","35","238421","0.01"
"4 Street","22","238421","0.01"
"Hoffman Street","24","238421","0.01"
"31 Drive","26","238421","0.01"
"Vancortlandt Park West","19","238421","0.01"
"152 Street","12","238421","0.01"
"East 212 Street","16","238421","0.01"
"Mount Eden Parkway","21","238421","0.01"
"Mcbride Street","12","238421","0.01"
"Park Hill Avenue","24","238421","0.01"
"145 Avenue","27","238421","0.01"
"Bank Street","21","238421","0.01"
"Pinegrove Street","13","238421","0.01"
"68 Drive","19","238421","0.01"
"Wales Avenue","21","238421","0.01"
"Bushwick Place","17","238421","0.01"
"John Street","32","238421","0.01"
"Wood Avenue","16","238421","0.01"
"210 Street","28","238421","0.01"
"West 63 Street","19","238421","0.01"
"61 Avenue","17","238421","0.01"
"Arden Street","12","238421","0.01"
"Beach 54 Street","27","238421","0.01"
"Saint Raymond Avenue","15","238421","0.01"
"Schaefer Street","21","238421","0.01"
"Bayside Avenue","15","238421","0.01"
"Nicholas Avenue","27","238421","0.01"
"Center Boulevard","21","238421","0.01"
"Bronx Park Avenue","16","238421","0.01"
"Laguardia Place","17","238421","0.01"
"Wheeler Avenue","28","238421","0.01"
"West 93 Street","26","238421","0.01"
"Wickham Avenue","29","238421","0.01"
"Thompson Street","31","238421","0.01"
"West 188 Street","12","238421","0.01"
"West Avenue","13","238421","0.01"
"Newport Avenue","19","238421","0.01"
"84 Road","13","238421","0.01"
"22 Avenue","15","238421","0.01"
"Skillman Street","24","238421","0.01"
"Farrington Street","32","238421","0.01"
"East 225 Street","33","238421","0.01"
"South 2 Street","30","238421","0.01"
"Osgood Avenue","18","238421","0.01"
"228 Street","34","238421","0.01"
"West 75 Street","22","238421","0.01"
"Westchester Square","19","238421","0.01"
"Seagirt Avenue","26","238421","0.01"
"Narrows Avenue","14","238421","0.01"
"Watts Street","29","238421","0.01"
"32 Place","14","238421","0.01"
